category_id,view_users,cart_stage_users,purchase_stage_users,estimated_transaction_amount,loose_view_to_cart_pct,loose_view_to_purchase_pct,overall_view_to_purchase_pct,conversion_gap_pct,traffic_quartile,traffic_rank,amount_rank
1487580013841613016,110211,15829,4990,61793.65,14.36,4.53,10.74,-6.21,1,1,22
1487580013950664926,102391,12614,3611,135889.39,12.32,3.53,10.74,-7.21,1,3,8
1487580008246412266,98813,21748,8151,139889.73,22.01,8.25,10.74,-2.49,1,4,6
1487580006300255120,88649,10394,3003,351672.31,11.72,3.39,10.74,-7.35,1,5,2
1487580008263189483,53364,10886,3790,70504.67,20.40,7.10,10.74,-3.64,1,11,18
1487580006350586771,33987,6674,2500,138623.97,19.64,7.36,10.74,-3.38,1,15,7
1487580009051717646,33969,6626,2452,114642.44,19.51,7.22,10.74,-3.52,1,16,10
1487580013522845895,33900,8528,3318,50423.37,25.16,9.79,10.74,-0.95,1,17,27
1487580010645553231,29678,4395,1548,34834.50,14.81,5.22,10.74,-5.52,1,18,46
1487580005553668971,28901,7693,2846,93743.77,26.62,9.85,10.74,-0.89,1,19,14
